METER_NO,CATEGORY,STREET,SUBURB,MAX_STAY_HRS,RESTRICTIONS,OPERATIONAL_DAY,OPERATIONAL_TIME,TAR_ZONE,TAR_RATE_WEEKDAY,TAR_RATE_AH_WE,LOC_DESC,VEH_BAYS,MC_BAYS,MC_RATE,LONGITUDE,LATITUDE
4006,TICKETLESS METER MULTISPACE,FORTESCUE ST,SPRING HILL,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Fortescue St between York Pde & Laisby Drive in Spring Hill,4,0,0,153.023612,-27.458958
4007,TICKETLESS METER MULTISPACE,ST PAULS TCE,SPRING HILL,3,"CLEARWAY 7-9 AM , 4-7 PM MON-FRI TOWAWAY",MON-FRI,9AM-4PM,2,2.7,0,St Pauls Tce between Gloucester St & Boundary St in Spring Hill,5,0,0,153.027436,-27.460389
4008,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,2,1.6,0,Gregory Tce between Kaligna Ave & Pool Entry in Spring Hill,16,0,0,153.022179,-27.458441
4009,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,2,1.6,0,Gregory Tce between Kaligna Ave & Pool Entry in Spring Hill,13,0,0,153.024164,-27.457185
4010,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,2,1.6,0,Gregory Tce between Pool Entry & Brunswick Tce in Spring Hill,12,0,0,153.02688,-27.453861
4011,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,4,"NO STOPPING 7-9 AM , 4-6 PM MON-FRI TOWAWAY",MON-FRI,9AM-4PM,2,1.6,0,Gregory Tce between Brunswick Tce & Warry St in Spring Hill,8,0,0,153.028017,-27.453254
4012,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Warry St between Gregory Tce & Water St in Spring Hill,14,0,0,153.028,-27.454064
4013,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,2,NONE,MON-FRI,8AM-5PM,2,2.7,0,Warry St between Gregory Tce & Water St in Spring Hill,5,0,0,153.028634,-27.454581
4014,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Warry St between Water St & Bathgate St in Spring Hill,8,0,0,153.028709,-27.454737
4015,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,4,NONE,MON-FRI,8AM-5PM,2,1.6,0,Warry St between Bathgate St & Gregory Tce in Spring Hill,5,0,0,153.027535,-27.453823
4016,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,2,1.6,0,Gregory Tce between Warry St & Kennigo St in Spring Hill,5,0,0,153.027167,-27.453902
4017,TICKETLESS METER MULTISPACE,KENNIGO ST,SPRING HILL,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Kennigo St between Gregory Tce & Bathgate St in Spring Hill,4,0,0,153.027193,-27.454255
4018,TICKETLESS METER MULTISPACE,KENNIGO ST,SPRING HILL,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Kennigo St between Bathgate St & Water St in Spring Hill,6,0,0,153.027826,-27.454772
4019,TICKETLESS METER MULTISPACE,KENNIGO ST,SPRING HILL,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Kennigo St between Gregory Tce & Water St in Spring Hill,5,0,0,153.028589,-27.455312
4020,TICKETLESS METER MULTISPACE,KENNIGO ST,SPRING HILL,4,NONE,MON-FRI,8AM-5PM,2,1.6,0,Kennigo St between Water St & Gregory Tce in Spring Hill,7,0,0,153.028385,-27.455341
4021,TICKETLESS METER MULTISPACE,KENNIGO ST,SPRING HILL,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Kennigo St between Water St & Gregory Tce in Spring Hill,4,0,0,153.027192,-27.454386
4022,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,2,1.6,0,Gregory Tce between Kennigo St & Hill St in Spring Hill,4,0,0,153.026936,-27.454435
4023,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,2,1.6,0,Gregory Tce between Hill St & Park St in Spring Hill,4,0,0,153.026854,-27.454979
4024,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,2,1.6,0,Gregory Tce between Hill St & Park St in Spring Hill,4,0,0,153.026621,-27.455031
4025,TICKETLESS METER MULTISPACE,WATER ST,SPRING HILL,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Water St between Warry St & Kennigo St in Spring Hill,6,0,0,153.028841,-27.455278
4026,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,4,NONE,MON-FRI,8AM-5PM,2,1.6,0,Warry St between Water St & St Pauls Tce in Spring Hill,12,0,0,153.029587,-27.455149
4027,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,4,NONE,MON-FRI,8AM-5PM,2,1.6,0,Warry St between Water St & St Pauls Tce in Spring Hill,8,0,0,153.030457,-27.455822
4028,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,3,NONE,MON-FRI,8AM-5PM,2,2.7,0,Warry St between St Pauls Tce & Water St in Spring Hill,4,0,0,153.030928,-27.456305
4029,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Warry St between St Pauls Tce & Water St in Spring Hill,16,0,0,153.030306,-27.455844
4030,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Warry St between St Pauls Tce & Water St in Spring Hill,6,0,0,153.029733,-27.455355
4031,TICKETLESS METER MULTISPACE,KENNIGO ST,SPRING HILL,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Kennigo St between Water St & St Pauls Tce in Spring Hill,9,0,0,153.029291,-27.455901
4032,TICKETLESS METER MULTISPACE,KENNIGO ST,SPRING HILL,4,NONE,MON-FRI,8AM-5PM,2,1.6,0,Kennigo St between Water St & St Pauls Tce in Spring Hill,10,0,0,153.029711,-27.456235
4033,TICKETLESS METER MULTISPACE,KENNIGO ST,SPRING HILL,4,NONE,MON-FRI,8AM-5PM,2,1.6,0,Kennigo St between St Pauls Tce & Water St in Spring Hill,10,0,0,153.030089,-27.456641
4034,TICKETLESS METER MULTISPACE,KENNIGO ST,SPRING HILL,4,NONE,MON-FRI,8AM-5PM,2,1.6,0,Kennigo St between St Pauls Tce & Water St in Spring Hill,9,0,0,153.029092,-27.455848
4035,TICKETLESS METER MULTISPACE,WATER ST,SPRING HILL,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Water St between Kennigo St & Grenier St in Spring Hill,5,0,0,153.028761,-27.455819
4036,TICKETLESS METER MULTISPACE,ST PAULS TCE,FORTITUDE VALLEY,4,"CLEARWAY 7-9 AM , 4-7 PM MON-FRI TOWAWAY",MON-FRI,9AM-4PM,2,1.6,0,St Pauls Tce between Gipps St & Gotha St in Spring Hill,5,0,0,153.03031,-27.457463
4037,TICKETLESS METER MULTISPACE,LOVE ST,SPRING HILL,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Love St between Water St & St Pauls Tce in Spring Hill,12,0,0,153.028734,-27.456726
4038,TICKETLESS METER MULTISPACE,LOVE ST,SPRING HILL,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Love St between Water St & St Pauls Tce in Spring Hill,10,0,0,153.029343,-27.457188
4039,TICKETLESS METER MULTISPACE,LOVE ST,SPRING HILL,4,"30 MIN PARKING 6 AM-10 AM, 3 PM - 5 PM MON-FRI",MON-FRI,10AM-3PM,2,1.6,0,Love St between St Pauls Tce & Water St in Spring Hill,8,0,0,153.029556,-27.457537
4040,TICKETLESS METER MULTISPACE,LOVE ST,SPRING HILL,9,NONE,MON-FRI,8AM-5PM,2,1.6,0,Love St between St Pauls Tce & Water St in Spring Hill,10,0,0,153.029061,-27.457152
